sample_id,source,longitude,latitude
ELRUSPA-FBA1-21,PETDB,-14,28.5
ELRUSPA-FBA1-21,PETDB,-14,28.5
ELRUSPA-FBA1-22,PETDB,-14,28.5
ELRUSPA-FBA1-23,PETDB,-14,28.5
ELRUSPA-FBA1-23,PETDB,-14,28.5
ELRUSPA-FBA1-4,PETDB,-14,28.5
ELRUSPA-FBA1-8,PETDB,-14,28.5
ELRUSPA-FT9-1,PETDB,-14,28.5
ELRUSPA-FT9-11,PETDB,-14,28.5
ELRUSPA-FT9-13,PETDB,-14,28.5
ELRUSPA-FT9-15,PETDB,-14,28.5
ELRUSPA-FT9-21,PETDB,-14,28.5
ELRUSPA-FBA1-12,PETDB,-14,28.5
ELRUSPA-FBA1-15,PETDB,-14,28.5
ELRUSPA-FBA1-15,PETDB,-14,28.5
ELRUSPA-FBA1-17,PETDB,-14,28.5
ELRUSPA-FBA1-19,PETDB,-14,28.5
ELRUSPA-FT9-28,PETDB,-14,28.5
ELRUSPA-FT9-29,PETDB,-14,28.5
ELRUSPA-FT9-3,PETDB,-14,28.5
ELRUSPA-FT9-32,PETDB,-14,28.5
ELRUSPA-FT9-33A,PETDB,-14,28.5
ELRUSPA-FT9-33B,PETDB,-14,28.5
ELRUSPA-FT9-34,PETDB,-14,28.5
ELRUSPA-FT9-4,PETDB,-14,28.5
ELRUSPA-FT9-5,PETDB,-14,28.5
ELRUSPA-FT9-6,PETDB,-14,28.5
ELRUSPA-FT9-7,PETDB,-14,28.5
ELRUSPA-FT9-8,PETDB,-14,28.5
ELRUSPA-FT9-9,PETDB,-14,28.5
FT9-1,GEOROC,-14,28.4
FBA1-1,GEOROC,-14,28.4
FT9-5,GEOROC,-14,28.4
FT9-15,GEOROC,-14,28.4
FBA1-15,GEOROC,-14,28.4
FBA1-15,GEOROC,-14,28.4
ELRUSPA-FBA1-3,PETDB,-14,28.5
ELRUSPA-FBA1-7,PETDB,-14,28.5
ELRUSPA-FBA1-9,PETDB,-14,28.5
ELRUSPA-FT9-10,PETDB,-14,28.5
ELRUSPA-FT9-12,PETDB,-14,28.5
ELRUSPA-FT9-14,PETDB,-14,28.5
ELRUSPA-FT9-2,PETDB,-14,28.5
ELRUSPA-FT9-27,PETDB,-14,28.5
ELRUSPA-FBA1-1,PETDB,-14,28.5
ELRUSPA-FBA1-11,PETDB,-14,28.5
ELRUSPA-FBA1-13,PETDB,-14,28.5
ELRUSPA-FBA1-16,PETDB,-14,28.5
ELRUSPA-FBA1-18,PETDB,-14,28.5
ELRUSPA-FBA1-2,PETDB,-14,28.5

